"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",15,82000000,110,"","",95,"2004年","木造","","","南東","公道",3.7,"１中住専",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,70000000,85,"","",85,"2011年","木造","","","南西","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","祐天寺",15,110000000,100,"","",185,"1992年","ＲＣ","","","北","私道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",5,88000000,60,"","",80,"2016年","木造","","","北西","私道",2.8,"１中住専",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",10,93000000,100,"","",130,"2001年","木造","","","北東","公道",3.3,"準工業",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","学芸大学",15,39000000,65,"","",60,"1971年","木造","","","","","","１中住専",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","西小山",15,150000000,180,"","",60,"1956年","木造","","","東","公道",6,"１種住居",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,78000000,60,"","",120,"2001年","木造","","","北","公道",5.3,"近隣商業",90,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",15,70000000,115,"","",120,"1982年","ＲＣ","","","北西","公道",1.8,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","平町","都立大学",10,110000000,105,"","",100,"2003年","鉄骨造","","","南","公道",6,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","学芸大学",15,93000000,120,"","",140,"1997年","木造","","","南","公道",11,"１中住専",60,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",5,220000000,105,"","",135,"2021年","木造","","","南西","公道",5.4,"１低住専",70,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",5,110000000,105,"","",115,"2017年","木造","","","北東","私道",3.3,"１中住専",60,200,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",10,99000000,95,"","",115,"2006年","木造","","","","","","１中住専","","","2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","学芸大学",10,65000000,65,"","",75,"2001年","木造","","","東","私道",3.3,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",10,63000000,50,"","",65,"2016年","木造","","","南東","私道",2.9,"１種住居",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",10,66000000,60,"","",70,"1971年","木造","","","北","私道",2.3,"１中住専",60,160,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","平町","都立大学",10,110000000,90,"","",160,"1991年","","","","北東","公道","","１低住専",60,150,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中央町","学芸大学",10,80000000,55,"","",75,"2016年","木造","","","南東","公道",11,"２種住居",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","碑文谷","西小山",15,140000000,100,"","",150,"2020年","木造","","","北西","公道",4.2,"１中住専",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","学芸大学",15,110000000,200,"","",185,"1991年","木造","","","北東","公道",5.4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",10,150000000,105,"","",175,"2017年","木造","","","南東","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","学芸大学",20,75000000,90,"","",115,"2004年","木造","","","西","公道",11,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","祐天寺",5,160000000,110,"","",150,"2008年","木造","","","北","公道",6.2,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","学芸大学",10,100000000,75,"","",95,"2017年","木造","","","南","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",15,59000000,45,"","",80,"2004年","木造","","","北西","私道",4,"１種住居",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","洗足","西小山",5,140000000,170,"","",165,"1980年","木造","","","北東","公道",6,"１種住居",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","鷹番","学芸大学",10,94000000,60,"","",100,"2011年","木造","","","西","私道",4,"１中住専",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","原町","洗足",10,89000000,140,"","",120,"2002年","木造","","","北","私道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",15,76000000,65,"","",95,"2012年","木造","","","南","私道",4,"１種住居",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",15,190000000,170,"","",285,"1997年","ＲＣ","","","南東","公道",3.7,"１低住専",50,100,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",15,110000000,95,"","",135,"2008年","木造","","","南西","私道",4,"１低住専",50,100,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",10,88000000,80,"","",105,"2005年","木造","","","南","公道",9,"１低住専",50,100,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",10,130000000,115,"","",105,"2002年","木造","","","南東","公道",4.9,"１中住専",60,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",15,83000000,65,"","",100,"1994年","木造","","","東","公道",3.7,"１中住専",70,160,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中根","都立大学",5,73000000,75,"","",95,"1995年","木造","","","東","私道",2.8,"１中住専",60,160,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中根","都立大学",5,30000000,35,"","",65,"1972年","木造","","","北東","公道",3.3,"１中住専",60,160,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",10,75000000,60,"","",90,"1999年","木造","","","北西","公道",5.4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","駒沢大学",15,77000000,75,"","",115,"2004年","木造","","","西","公道",11,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",10,130000000,100,"","",155,"2008年","木造","","","東","私道",3.3,"１低住専",50,100,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","学芸大学",5,70000000,70,"","",170,"1975年","鉄骨造","","","南東","公道",15,"近隣商業",80,200,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","学芸大学",10,150000000,110,"","",125,"2014年","木造","","","南","公道",4.3,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","不動前",15,95000000,70,"","",90,"2015年","木造","","","西","公道",3.6,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",15,61000000,45,"","",80,"2004年","木造","","","北西","私道",4,"１種住居",60,200,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",25,120000000,105,"","",100,"2004年","木造","","","北西","公道",4,"１低住専",50,100,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","学芸大学",20,130000000,110,"","",130,"2010年","木造","","","南","公道",4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","洗足","洗足",5,190000000,155,"","",200,"2001年","木造","","","東","公道",5.3,"１低住専",50,100,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","三田","目黒",10,240000000,145,"","",245,"2001年","木造","","","南西","公道",4.5,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",5,75000000,65,"","",105,"2002年","木造","","","東","公道",5.2,"近隣商業",80,300,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","学芸大学",15,140000000,115,"","",115,"2016年","木造","","","南西","公道",3.6,"１低住専",60,150,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","祐天寺",10,90000000,95,"","",130,"1998年","軽量鉄骨造","","","北西","私道",4,"１低住専",60,150,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","五本木","祐天寺",5,24000000,40,"","",40,"1957年","木造","","","","","","１種住居",60,160,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",10,120000000,115,"","",145,"2002年","鉄骨造","","","南西","公道",2.4,"準工業",60,240,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","学芸大学",20,130000000,85,"","",130,"2019年","木造","","","南東","公道",11,"１中住専",60,200,"2021年第4四半期",""
