"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",15,82000000,110,"","",95,"2004年","木造","","","南東","公道",3.7,"１中住専",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,70000000,85,"","",85,"2011年","木造","","","南西","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,78000000,60,"","",120,"2001年","木造","","","北","公道",5.3,"近隣商業",90,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,90000000,75,"","",110,"2016年","木造","","","北","私道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,58000000,55,"","",90,"1996年","木造","","","南西","私道",4,"近隣商業",80,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,70000000,75,"","",100,"2001年","木造","","","西","私道",4,"１中住専",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,91000000,80,"","",85,"2017年","木造","","","西","公道",4.3,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,83000000,85,"","",85,"2005年","木造","","","南東","公道",3.7,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,73000000,75,"","",75,"2021年","木造","","","東","公道",3.8,"１低住専",60,150,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,110000000,80,"","",90,"2017年","木造","","","南東","私道",3.2,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,75000000,95,"","",85,"2019年","木造","","","南","公道",2.6,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,110000000,105,"","",100,"2009年","軽量鉄骨造","","","南","公道",3.6,"１低住専",60,150,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,120000000,120,"","",125,"2006年","木造","","","東","私道",3.8,"１低住専",60,150,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,88000000,100,"","",115,"2002年","木造","","","東","公道",3.6,"１低住専",60,150,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,110000000,140,"","",110,"2004年","木造","","","南西","公道",3.7,"１低住専",60,150,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,130000000,85,"","",95,"2022年","木造","","","北","公道",4,"１低住専",60,150,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,52000000,50,"","",80,"1998年","木造","","","北西","公道",4.8,"１低住専",60,150,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,100000000,90,"","",95,"2010年","木造","","","西","私道",4,"１低住専",60,150,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,140000000,95,"","",105,"2008年","木造","","","南","公道",7.8,"１低住専",70,150,"2024年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,52000000,55,"","",95,"1985年","木造","","","西","公道",3.6,"１低住専",60,150,"2024年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,110000000,75,"","",105,"2024年","木造","","","東","私道",4,"１低住専",60,150,"2024年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,110000000,75,"","",115,"2008年","木造","","","南東","私道",3.4,"１低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,98000000,175,"","",170,"2013年","木造","","","南西","私道",2.6,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",15,140000000,120,"","",210,"1994年","木造","","","西","私道",4,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,100000000,70,"","",85,"2012年","木造","","","南西","私道",4,"１低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,66000000,55,"","",90,"2001年","木造","","","東","公道",3.8,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,110000000,100,"","",90,"2001年","木造","","","南東","公道",6.1,"２種住居",60,240,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,94000000,55,"ほぼ長方形",5.5,80,"2019年","木造","住宅","住宅","北","区道",3.3,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,160000000,120,"長方形",13,90,"1958年","木造","住宅","住宅","西","区道",7.9,"１中住専",60,200,"2024年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",7,160000000,100,"ほぼ正方形",9.5,140,"2024年","木造","住宅","住宅","西","区道",4,"１低住専",60,150,"2024年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",6,80000000,130,"ほぼ正方形",11.9,120,"2001年","木造","共同住宅","住宅","南東","私道",2.4,"１低住専",60,150,"2024年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",6,160000000,105,"長方形","",135,"2023年","木造","住宅","住宅","北東","区道",4,"１低住専",60,150,"2024年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",7,170000000,165,"ほぼ長方形",7.8,195,"2018年","木造","共同住宅","住宅","北西","区道",5,"１低住専",60,150,"2024年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",4,120000000,155,"ほぼ長方形",12,135,"1990年","","","住宅","西","区道",5.3,"１低住専",60,150,"2024年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",4,36000000,65,"ほぼ整形",8,70,"1970年","木造","共同住宅","","西","私道",4,"１低住専",60,150,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13110","東京都","目黒区","大岡山","大岡山",3,53000000,60,"ほぼ長方形",4,90,"1980年","","","店舗","東","区道",5.2,"近隣商業",80,300,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",11,160000000,90,"台形",5,140,"2023年","木造","住宅","住宅","西","区道",5,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",12,52000000,60,"ほぼ長方形",5.6,120,"1988年","木造","住宅","住宅","北","私道",4,"１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",7,73000000,75,"袋地等",2,75,"2021年","木造","住宅","住宅","東","区道",3.9,"１低住専",60,150,"2022年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13110","東京都","目黒区","大岡山","大岡山",3,280000000,320,"ほぼ長方形",9,160,"1987年","木造","共同住宅、店舗","住宅","北","区道",5.9,"近隣商業",80,300,"2022年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",7,83000000,80,"ほぼ台形",10,80,"2005年","木造","住宅","住宅","北東","私道",4,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",10,100000000,100,"長方形",7.3,"","","","","住宅","北","区道",3.8,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",3,100000000,125,"袋地等",2.9,60,"1955年","木造","住宅","住宅","北西","区道",4.5,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,100000000,100,"袋地等",3,90,"2021年","木造","住宅","住宅","東","私道",4,"１低住専",60,150,"2021年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,50000000,50,"ほぼ長方形",5.7,"","1982年","木造","住宅","住宅","東","私道",4,"１低住専",60,150,"2021年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",6,130000000,90,"ほぼ長方形",7,115,"2021年","木造","住宅","住宅","東","区道",4.5,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,99000000,95,"不整形",2.8,90,"2021年","木造","住宅","住宅","東","区道",4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",8,110000000,80,"ほぼ長方形",6.3,100,"2020年","木造","住宅","住宅","東","私道",4,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",9,100000000,90,"不整形",2.7,80,"2021年","木造","住宅","住宅","東","私道",3.3,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13110","東京都","目黒区","大岡山","大岡山",11,89000000,155,"ほぼ長方形",20,"","1974年","軽量鉄骨造","住宅","住宅","東","私道",4,"１中住専",60,200,"2021年第2四半期",""
